Name,Enabeled,Status,Last Run Outcome,Last Run,Next Run,Category,Runnable,Scheduled,CategoryID
BW_BI - do_seq - NESTOR,yes,Idle ,Succeeded,3/29/23 2:00,3/30/23 2:00,[Uncategorized (Local)],yes,yes,0
SL - Chart - Chart_bp Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 2:00,3/30/23 2:00,[Uncategorized (Local)],yes,yes,0
BW_BI - do_line - NESTOR,yes,Idle ,Succeeded,3/29/23 2:00,3/30/23 2:00,[Uncategorized (Local)],yes,yes,0
BW_BI - Daily Date Table - BW_BI,yes,Idle ,Succeeded,3/29/23 2:00,3/30/23 2:00,[Uncategorized (Local)],yes,yes,0
SL - RPA Open Steps - NESTOR,yes,Idle ,Succeeded,3/29/23 2:00,3/30/23 2:00,[Uncategorized (Local)],yes,yes,0
BW_BI - NRT_Resources_Table - SL,yes,Idle ,Succeeded,3/29/23 2:00,3/30/23 2:00,[Uncategorized (Local)],yes,yes,0
SL - pckitem - NESTOR,yes,Idle ,Succeeded,3/29/23 1:57,3/30/23 1:57,[Uncategorized (Local)],yes,yes,0
BW_BI - inv_hdr inv_stax Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 1:55,3/30/23 1:55,[Uncategorized (Local)],yes,yes,0
SL - citemh Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 1:54,3/30/23 1:54,[Uncategorized (Local)],yes,yes,0
SL - edi_bol - NESTOR,yes,Idle ,Succeeded,3/29/23 1:51,3/30/23 1:51,[Uncategorized (Local)],yes,yes,0
SL - edi_bol_item - NESTOR,yes,Idle ,Succeeded,3/29/23 1:48,3/30/23 1:48,[Uncategorized (Local)],yes,yes,0
SL - distacct Table - NESTOR,yes,Idle ,Succeeded,3/29/23 1:45,3/30/23 1:45,[Uncategorized (Local)],yes,yes,0
BW_BI - frzcost_hst system version replacement - NESTOR,yes,Idle ,Succeeded,3/29/23 1:45,3/30/23 1:45,[Uncategorized (Local)],yes,yes,0
BW_BI - Recursive Machine Run Hours per UM per Manufactured Item for a Site - NESTOR,yes,Idle ,Succeeded,3/29/23 1:45,3/30/23 1:45,[Uncategorized (Local)],yes,yes,0
SL - RESSUM000 - NESTOR,yes,Idle ,Succeeded,3/29/23 1:43,3/30/23 1:43,[Uncategorized (Local)],yes,yes,0
SL - Employee_Resource_SL - NESTOR,yes,Idle ,Succeeded,3/29/23 1:39,3/30/23 1:39,[Uncategorized (Local)],yes,yes,0
BW_BI - Invoice Items Adjustments Import - NESTOR,yes,Idle ,Succeeded,3/29/23 1:37,3/30/23 1:37,[Uncategorized (Local)],yes,yes,0
SL - jrt_sch Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 1:36,3/30/23 1:36,[Uncategorized (Local)],yes,yes,0
BW_BI - APTRXP - NESTOR,yes,Idle ,Succeeded,3/29/23 1:35,3/30/23 1:35,[Uncategorized (Local)],yes,yes,0
BW_BI - aptrxd - NESTOR,yes,Idle ,Succeeded,3/29/23 1:35,3/30/23 1:35,[Uncategorized (Local)],yes,yes,0
BW_BI - arparms_all Sync - BW_BI,yes,Idle ,Succeeded,3/29/23 1:35,3/30/23 1:35,[Uncategorized (Local)],yes,yes,0
BW_BI - ESBMatlTrackLotsView to Table - SL,yes,Idle ,Succeeded,3/29/23 1:35,3/30/23 1:35,[Uncategorized (Local)],yes,yes,0
BW_BI - Sync InventoryByMonth - REFERENCE,yes,Idle ,Succeeded,3/29/23 1:33,3/30/23 1:33,[Uncategorized (Local)],yes,yes,0
SL - Vendor Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 1:33,3/30/23 1:33,[Uncategorized (Local)],yes,yes,0
SL - CAL000 - NESTOR,yes,Idle ,Succeeded,3/29/23 1:33,3/30/23 1:33,[Uncategorized (Local)],yes,yes,0
